Procedimento;Classificação;D.V.;Descrição;Valor
10476;01.02.01.021;8;INVESTIGACAO DE SURTOS DE INFECCAO EM SERVICOS DE SAUDE;"0,00"
1119;02.11.01.002;2;INVESTIGACAO ULTRASSONICA (PLETISMOGRAFIA);"1,31"
1634;03.04.09.002;6;IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREOIDE (100 MCI);"1.071,90"
1635;03.04.09.001;8;IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREOIDE (150 MCI);"1.289,90"
1636;03.04.09.003;4;IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREOIDE (200 MCI);"1.471,32"
9731;03.04.09.004;2;IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREOIDE (250 MCI);"1.810,32"
10315;03.04.09.005;0;IODOTERAPIA DE CARCINOMA DIFERENCIADO DE TIREOIDE( 30MCI);"443,70"
10316;03.04.09.006;9;IODOTERAPIA DE CARCINOMA DIFERENCIADO DE TIREOIDE( 50MCI);"614,70"
2629;04.05.05.017;8;IRIDECTOMIA CIRURGICA;"297,46"
2632;04.05.05.018;6;IRIDOCICLECTOMIA;"619,16"
2627;04.05.05.019;4;IRIDOTOMIA A LASER;"45,00"
1485;03.04.01.012;0;IRRADIACAO DE CORPO INTEIRO PRE-TRANSPLANTE DE MEDULA OSSEA;"375,00"
1483;03.04.01.013;8;IRRADIACAO DE MEIO CORPO;"126,72"
1484;03.04.01.014;6;IRRADIACAO DE PELE TOTAL;"132,00"
2215;02.12.02.003;0;IRRADIACAO DE SANGUE E COMPONENTES DESTINADOS A TRANSFUSAO;"13,61"
6230;03.01.10.011;0;IRRIGACAO VESICAL;"0,00"
6544;02.13.01.037;2;ISOLAMENTO DA RICKETTSIA RICKTTSII (FEBRE MACULOSA);"0,00"
6529;02.13.01.038;0;ISOLAMENTO DO VIRUS DA DENGUE;"0,00"
6542;02.13.01.039;9;ISOLAMENTO DO VIRUS DA FEBRE DO NILO OCIDENTAL;"0,00"
6548;02.13.01.040;2;ISOLAMENTO DO VIRUS DA INFLUENZA;"0,00"
6560;02.13.01.041;0;ISOLAMENTO DO VIRUS DA MENINGITE VIRAL;"0,00"
6567;02.13.01.042;9;ISOLAMENTO DO VIRUS DA POLIOMIELITE;"0,00"
6572;02.13.01.043;7;ISOLAMENTO DO VIRUS DA RAIVA;"0,00"
6577;02.13.01.044;5;ISOLAMENTO DO VIRUS DO SARAMPO;"0,00"
10455;06.04.59.002;4;ISOTRETINOINA 20 MG (POR CAPSULA);"0,00"
2979;04.07.02.030;6;JEJUNOSTOMIA / ILEOSTOMIA;"942,57"
2579;04.04.02.020;8;LABIOPLASTIA PARA REDUCAO OU CORRECAO DA HIPERTROFIA DO LABIO;"317,87"
2583;04.04.03.012;2;LABIOPLASTIA SECUNDARIA EM PACIENTE COM ANOMALIA CRANIO E BUCOMAXILOFACIAL;"1.093,69"
2533;04.04.03.007;6;LABIOPLASTIA UNILATERAL EM DOIS TEMPOS;"1.093,69"
2465;04.04.01.016;4;LABIRINTECTOMIA MEMBRANOSA / OSSEA COM OU S/ AUDICAO;"812,17"
10414;06.04.46.003;1;LAMIVUDINA 10 MG/ML SOLUCAO ORAL (FRASCO DE 240 ML);"0,00"
10415;06.04.46.004;0;LAMIVUDINA 150 MG (POR COMPRIMIDO);"0,00"
10429;06.04.50.005;0;LAMOTRIGINA 100 MG (POR COMPRIMIDO);"0,00"
10428;06.04.50.004;1;LAMOTRIGINA 50 MG (POR COMPRIMIDO);"0,00"
10263;06.04.29.008;0;LANREOTIDA 120 MG INJETAVEL (POR SERINGA PREENCHIDA);"2.298,41"
10261;06.04.29.006;3;LANREOTIDA 60 MG INJETAVEL (POR SERINGA PREENCHIDA);"2.137,21"
10262;06.04.29.007;1;LANREOTIDA 90 MG INJETAVEL (POR SERINGA PREENCHIDA);"2.290,28"
1320;02.09.01.004;5;LAPAROSCOPIA;"40,37"
8361;04.07.04.016;1;LAPAROTOMIA EXPLORADORA;"637,19"
10222;04.16.06.012;9;LAPAROTOMIA PARA AVALIACAO DE TUMOR DE OVARIO EM ONCOLOGIA;"4.551,80"
8362;04.07.04.017;0;LAPAROTOMIA VIDEOLAPAROSCOPICA PARA DRENAGEM E/OU BIOPSIA;"606,15"
3923;04.09.06.018;6;LAQUEADURA TUBARIA;"339,02"
2456;04.04.01.017;2;LARINGECTOMIA PARCIAL;"1.073,02"
10198;04.16.03.025;4;LARINGECTOMIA PARCIAL EM ONCOLOGIA;"2.125,46"
2457;04.04.01.018;0;LARINGECTOMIA TOTAL;"980,31"
2458;04.04.01.019;9;LARINGECTOMIA TOTAL C/ ESVAZIAMENTO CERVICAL;"980,31"
10199;04.16.03.026;2;LARINGECTOMIA TOTAL EM ONCOLOGIA;"5.818,68"
10544;04.04.01.045;8;LARINGOFISSURA PARA COLOCACAO DE MOLDE NOS TRAUMATISMOS DE LARINGE;"1.101,94"
2466;04.04.01.020;2;LARINGORRAFIA;"886,45"
1323;02.09.04.002;5;LARINGOSCOPIA;"47,14"
10270;06.04.65.002;7;"LATANOPROSTA 0,05 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 2,5 ML)";"36,45"
10504;01.02.01.049;8;LAUDO DE ANALISE LABORATORIAL DO PROGRAMA DE MONITORAMENTO DE ALIMENTOS RECEBIDOS PELA VIGILANCIA SANITARIA;"0,00"
6228;03.01.10.012;8;LAVAGEM GASTRICA;"0,00"
1261;03.03.14.001;1;LAVAGEM NASAL PELO METODO DE PROETZ (POR SESSAO);"1,44"
9946;06.04.32.004;3;LEFLUNOMIDA 20 MG (POR COMPRIMIDO);"0,00"
4661;07.01.04.002;5;LENTE ESCLERAL PINTADA;"275,00"
226;02.02.02.039;8;LEUCOGRAMA;"2,73"
9862;06.04.11.004;9;"LEUPRORRELINA 11,25 MG INJETAVEL (POR FRASCO-AMPOLA)";"1.159,44"
9861;06.04.11.003;0;"LEUPRORRELINA 3,75 MG INJETAVEL (POR FRASCO-AMPOLA)";"256,58"
3877;04.09.05.005;9;LIBERACAO / PLASTIA DE PREPUCIO;"13,54"
3099;04.07.04.018;8;LIBERACAO DE ADERENCIAS INTESTINAIS;"829,06"
10473;01.02.01.018;8;LICENCIAMENTO DOS ESTABELECIMENTOS SUJEITOS A VIGILANCIA SANITARIA;"0,00"
10481;01.02.01.026;9;LICENCIAMENTO SANITARIO DE HOSPITAIS;"0,00"
10487;01.02.01.032;3;LICENCIAMENTO SANITARIO DE INDUSTRIAS DE MEDICAMENTOS;"0,00"
10484;01.02.01.029;3;LICENCIAMENTO SANITARIO DE INSTITUICOES DE LONGA PERMANENCIA PARA IDOSOS;"0,00"
10502;01.02.01.047;1;LICENCIAMENTO SANITARIO DE SERVICOS DE ALIMENTACAO;"0,00"
10490;01.02.01.035;8;LICENCIAMENTO SANITARIO DE SERVICOS DE DIAGNOSTICO E TRATAMENTO DO CANCER DE COLO DE UTERO E MAMA;"0,00"
10496;01.02.01.041;2;LICENCIAMENTO SANITARIO DE SERVICOS DE HEMOTERAPIA;"0,00"
10499;01.02.01.044;7;LICENCIAMENTO SANITARIO DE SERVICOS DE TERAPIA RENAL SUBSTITUTIVA;"0,00"
10493;01.02.01.038;2;LICENCIAMENTO SANITARIO DE SERVICOS HOSPITALARES DE ATENCAO AO PARTO E A CRIANCA;"0,00"
3831;04.09.02.005;2;LIGADURA / SECCAO DE VASOS ABERRANTES;"405,28"
4027;04.12.05.003;0;LIGADURA DE ARTERIAS BRONQUICAS POR TORACOTOMIA PARA CONTROLE DE HEMOPTISE;"801,40"
10206;04.16.03.033;5;LIGADURA DE CAROTIDA EM ONCOLOGIA;"910,50"
2169;04.18.02.002;7;LIGADURA DE FISTULA ARTERIO-VENOSA;"600,00"
2754;04.06.01.073;0;LIGADURA DE FISTULA SISTEMICO-PULMONAR;"4.605,63"
45860;04.06.01.148;6;LIGADURA DE FISTULA SISTEMICO-PULMONAR (CRIANCA E ADOLESCENTE);"11.502,85"
4028;04.12.04.004;2;LIGADURA DO DUCTO TORACICO (QUALQUER METODO);"801,40"
3046;04.07.02.031;4;LIGADURA ELASTICA DE HEMORROIDAS (SESSAO);"14,77"
10182;04.16.02.021;6;LINFADENECTOMIA AXILAR UNILATERAL EM ONCOLOGIA;"1.937,81"
10179;04.16.02.018;6;LINFADENECTOMIA CERVICAL RECORRENCIAL UNILATERAL EM ONCOLOGIA;"2.509,73"
10178;04.16.02.017;8;LINFADENECTOMIA CERVICAL SUPRAOMO-HIOIDEA UNILATERAL EM ONCOLOGIA;"2.509,73"
10184;04.16.02.023;2;LINFADENECTOMIA INGUINAL UNILATERAL EM ONCOLOGIA;"1.809,05"
10186;04.16.02.025;9;LINFADENECTOMIA INGUINO-ILIACA UNILATERAL EM ONCOLOGIA;"4.303,05"
2835;04.06.02.018;3;LINFADENECTOMIA MEDIASTINAL;"0,00"
10180;04.16.02.019;4;LINFADENECTOMIA MEDIASTINAL EM ONCOLOGIA;"3.814,58"
2820;04.06.02.019;1;LINFADENECTOMIA PELVICA;"442,59"
7640;04.16.02.002;0;LINFADENECTOMIA PELVICA EM ONCOLOGIA;"1.673,40"
2818;04.06.02.020;5;LINFADENECTOMIA PROFUNDA;"38,39"
2824;04.06.02.021;3;LINFADENECTOMIA RADICAL AXILAR BILATERAL;"587,92"
2823;04.06.02.022;1;LINFADENECTOMIA RADICAL AXILAR UNILATERAL;"530,29"
2828;04.06.02.023;0;LINFADENECTOMIA RADICAL CERVICAL BILATERAL;"482,54"
2827;04.06.02.024;8;LINFADENECTOMIA RADICAL CERVICAL UNILATERAL;"499,71"
10176;04.16.02.015;1;LINFADENECTOMIA RADICAL CERVICAL UNILATERAL EM ONCOLOGIA;"1.930,56"
2826;04.06.02.025;6;LINFADENECTOMIA RADICAL INGUINAL BILATERAL;"529,17"
2825;04.06.02.026;4;LINFADENECTOMIA RADICAL INGUINAL UNILATERAL;"506,46"
10177;04.16.02.016;0;LINFADENECTOMIA RADICAL MODIFICADA CERVICAL UNILATERAL EM ONCOLOGIA;"2.509,73"
2829;04.06.02.027;2;LINFADENECTOMIA RADICAL VULVAR;"507,38"
2830;04.06.02.028;0;LINFADENECTOMIA RETROPERITONIAL;"587,48"
10183;04.16.02.022;4;LINFADENECTOMIA RETROPERITONIAL EM ONCOLOGIA;"4.577,36"
10185;04.16.02.024;0;LINFADENECTOMIA SELETIVA GUIADA (LINFONODO SENTINELA) EM ONCOLOGIA;"727,87"
2682;04.06.02.029;9;LINFADENECTOMIA SUPERFICIAL;"16,92"
10181;04.16.02.020;8;LINFADENECTOMIA SUPRACLAVICULAR UNILATERAL EM ONCOLOGIA;"1.809,42"
1085;02.10.01.019;3;LINFANGIOADENOGRAFIA;"199,40"
1048;02.08.08.004;0;LINFOCINTILOGRAFIA;"141,33"
4084;04.13.03.001;6;LIPOASPIRACAO DE GIBA OU REGIAO SUBMANDIBULAR EM PACIENTES COM LIPODISTROFIA DECORRENTE DO USO DE ANTI-RETROVIRAL;"836,62"
4085;04.13.03.002;4;LIPOASPIRACAO DE PAREDE ABDOMINAL OU DORSO EM PACIENTES COM LIPODISTROFIA DECORRENTE DO USO DE ANTI-RETROVIRAL;"838,47"
4088;04.13.03.003;2;LIPOENXERTIA DE GLUTEO EM PACIENTE COM LIPODISTROFIA GLUTEA DECORRENTE DO USO DE ANTI-RETROVIRAL;"676,99"
4223;07.02.12.001;4;LIQUIDO DE PRESERVACAO DE CORACAO P/ TRANSPLANTE (LITRO);"35,00"
4221;07.02.12.002;2;LIQUIDO DE PRESERVACAO DE FIGADO P/ TRANSPLANTE (LITRO);"615,00"
4225;07.02.12.003;0;LIQUIDO DE PRESERVACAO DE PANCREAS P/ TRANSPLANTE (LITRO);"615,00"
4224;07.02.12.004;9;LIQUIDO DE PRESERVACAO DE PULMAO P/ TRANSPLANTE (LITRO);"81,00"
4222;07.02.12.005;7;LIQUIDO DE PRESERVACAO DE RIM P/ TRANSPLANTE (LITRO);"35,00"
4214;07.02.12.006;5;LIQUIDO DE PRESERVACAO PARA TRANSPLANTE DA CORNEA (20 ML);"148,00"
3799;04.09.01.018;9;LITOTRIPSIA;"386,87"
1970;03.09.03.010;2;LITOTRIPSIA EXTRACORPOREA (ONDA DE CHOQUE - TRATATAMENTO SUBSEQUENTE EM 1 REGIAO RENAL);"172,00"
1971;03.09.03.011;0;LITOTRIPSIA EXTRACORPOREA (ONDA DE CHOQUE - TRATATAMENTO SUBSEQUENTE EM 2 REGIOES RENAIS);"150,50"
1968;03.09.03.012;9;LITOTRIPSIA EXTRACORPOREA (ONDA DE CHOQUE PARCIAL / COMPLETA EM 1 REGIAO RENAL);"172,00"
1969;03.09.03.013;7;LITOTRIPSIA EXTRACORPOREA (ONDA DE CHOQUE PARCIAL / COMPLETA EM 2 REGIOES RENAIS);"150,50"
4051;04.12.05.004;8;LOBECTOMIA PULMONAR;"1.260,20"
7566;04.16.11.001;0;LOBECTOMIA PULMONAR EM ONCOLOGIA;"3.282,83"
1247;02.11.07.021;1;LOGOAUDIOMETRIA (LDV-IRF-LRF);"26,25"
3761;04.09.01.019;7;LOMBOTOMIA;"650,27"
9968;06.04.36.007;0;LOVASTATINA 10 MG (POR COMPRIMIDO);"0,00"
9969;06.04.36.008;8;LOVASTATINA 20 MG (POR COMPRIMIDO);"0,00"
9970;06.04.36.009;6;LOVASTATINA 40 MG (POR COMPRIMIDO);"0,00"
8305;07.01.04.003;3;LUPA DE APOIO COM OU SEM ILUMINACAO;"158,75"
4662;07.01.04.004;1;LUPA MANUAL COM OU SEM ILUMINACAO;"100,00"
4056;07.01.10.004;4;MALHA COMPRESSIVA P/ TRATAMENTO SEQUENCIAL DE QUEIMADOS - LUVA C/ E S/ DEDOS ATE O OMBRO;"38,00"
4060;07.01.10.001;0;MALHA COMPRESSIVA P/ TRATAMENTO SEQUENCIAL DE QUEIMADOS - LUVA C/ E S/ DEDOS ATE O PULSO;"43,00"
4064;07.01.10.005;2;MALHA COMPRESSIVA P/ TRATAMENTO SEQUENCIAL DE QUEIMADOS - MEIA (3/4) - PECA;"21,00"
4061;07.01.10.006;0;MALHA COMPRESSIVA P/ TRATAMENTO SEQUENCIAL DE QUEIMADOS - MEIA- PERNA INTEIRA (PECA);"35,00"
4063;07.01.10.007;9;MALHA COMPRESSIVA P/ TRATAMENTO SEQUENCIAL DE QUEIMADOS - MEIA-CALCA COMPLETA (PECA);"52,00"
4058;07.01.10.008;7;MALHA COMPRESSIVA P/ TRATAMENTO SEQUENCIAL DE QUEIMADOS - TORAX C/ MANGAS (PECA);"68,00"
4059;07.01.10.009;5;MALHA COMPRESSIVA P/ TRATAMENTO SEQUENCIAL DE QUEIMADOS - TORAX S/ MANGAS (PECA);"43,00"
4057;07.01.10.002;8;MALHA COMPRESSIVA P/ TRATAMENTO SEQUENCIAL DE QUEIMADOS (MEIA ATE VIRILHA OU JOELHO);"26,00"
4062;07.01.10.003;6;MALHA COMPRESSIVA P/ TRATAMENTO SEQUENCIAL DE QUEIMADOS (MEIO CANO OU CANO P E B) -(PECA);"21,00"
4065;07.01.10.010;9;MALHA COMPRESSIVA P/ TRATAMENTO SEQUENCIAL DE QUEIMADOS PARA CABECA E PESCOCO;"25,00"
781;02.04.03.003;0;MAMOGRAFIA;"22,50"
9713;02.04.03.018;8;MAMOGRAFIA BILATERAL PARA RASTREAMENTO;"45,00"
3957;04.13.04.008;9;MAMOPLASTIA POS-CIRURGIA BARIATRICA;"851,52"
10203;04.16.03.030;0;MANDIBULECTOMIA PARCIAL EM ONCOLOGIA;"4.430,87"
10204;04.16.03.031;9;MANDIBULECTOMIA TOTAL EM ONCOLOGIA;"5.907,83"
7528;04.08.06.015;8;MANIPULACAO ARTICULAR;"28,42"
4968;07.01.07.006;4;MANTENEDOR DE ESPACO;"10,00"
10358;03.01.07.017;2;MANUTENCAO DA PROTESE DE IMPLANTE COCLEAR;"1.226,35"
2712;04.06.01.074;9;MANUTENCAO DE ASSISTENCIA CIRCULATORIA;"188,18"
10126;07.01.01.019;3;MANUTENCAO DE OPM AUXILIARES DE LOCOMOCAO;"0,00"
10115;07.01.04.015;0;MANUTENCAO DE OPM OFTALMOLOGICA;"0,00"
10112;07.01.02.058;3;MANUTENCAO DE OPM ORTOPEDICA;"0,00"
2181;03.05.01.016;6;MANUTENCAO E ACOMPANHAMENTO DOMICILIAR DE PACIENTE SUBMETIDO A DPA /DPAC;"358,06"
4283;05.03.03.001;5;MANUTENCAO HEMODINAMICA DE POSSIVEL DOADOR E TAXA DE SALA P/ RETIRADA DE ORGAOS;"900,00"
4974;03.07.04.006;2;MANUTENCAO PERIODICA DE PROTESE BUCO-MAXILO-FACIAL;"1,16"
10113;07.01.03.030;1;MANUTENCAO/ ADAPTACAO DE OPM AUDITIVA;"0,00"
10532;03.07.04.012;7;MANUTENCAO/CONSERTO DE APARELHO ORTODONTICO/ORTOPEDICO;"34,00"
1200;02.11.06.012;7;MAPEAMENTO DE RETINA;"24,24"
10353;02.11.07.038;6;MAPEAMENTO E BALANCEAMENTO DOS ELETRODOS;"33,91"
9021;02.05.02.019;4;MARCACAO DE LESAO PRE-CIRURGICA DE LESAO NAO PALPAVEL DE MAMA ASSOCIADA A ULTRASSONOGRAFIA;"25,43"
780;02.04.03.004;8;MARCACAO PRE-CIRURGICA DE LESAO NAO PALPAVEL DE MAMA ASSOCIADA A MAMOGRAFIA;"62,50"
4682;07.02.04.041;0;MARCAPASSO CARDIACO MULTIPROGRAMAVEL DE CAMARA DUPLA;"5.225,25"
4681;07.02.04.042;8;MARCAPASSO CARDIACO MULTIPROGRAMAVEL DE CAMARA UNICA;"4.324,34"
4685;07.02.04.043;6;MARCAPASSO MULTI-SITIO;"15.720,16"
3038;04.07.03.017;4;MARSUPIALIZACAO DE ABSCESSO / CISTO;"863,53"
4138;04.14.02.020;0;MARSUPIALIZACAO DE CISTOS E PSEUDOCISTOS;"15,02"
3935;04.09.07.019;0;MARSUPIALIZACAO DE GLANDULA DE BARTOLIN;"139,96"
1486;03.04.01.015;4;MASCARA / IMOBILIZACAO PERSONALIZADA (POR TRATAMENTO);"65,00"
1965;03.09.03.014;5;MASSAGEM DE PROSTATA (POR SESSAO);"1,52"
3959;04.10.01.005;7;MASTECTOMIA RADICAL C/ LINFADENECTOMIA;"783,51"
3962;04.16.12.002;4;MASTECTOMIA RADICAL C/ LINFADENECTOMIA AXILAR EM ONCOLOGIA;"2.462,85"
3958;04.10.01.006;5;MASTECTOMIA SIMPLES;"462,80"
10310;04.10.01.019;7;MASTECTOMIA SIMPLES BILATERAL SOB PROCESSO TRANSEXUALIZADOR;"809,89"
3961;04.16.12.003;2;MASTECTOMIA SIMPLES EM ONCOLOGIA;"2.045,07"
2434;04.04.01.021;0;MASTOIDECTOMIA RADICAL;"757,13"
2433;04.04.01.022;9;MASTOIDECTOMIA SUBTOTAL;"483,55"
10393;07.01.02.059;8;"MATERIAIS ELÁSTICOS PARA MODELAGEM DE COTOS, CONTROLE CICATRICIAL OU CONTROLE DE EDEMA DE MEMBROS SUPERIORES E INFERIORES – FAIXA ELÁSTICA COMPRESSIVA.";"10,70"
10154;03.01.08.030;5;MATRICIAMENTO DE EQUIPES DA ATENCAO BASICA;"0,00"
10163;03.01.08.039;9;"MATRICIAMENTO DE EQUIPES DOS PONTOS DE ATENÇÃO DA URGÊNCIA E EMERGÊNCIA, E DOS SERVIÇOS HOSPITALARES DE REFERÊNCIA PARA ATENÇÃO A PESSOAS COM SOFRIMENTO OU TRANSTORNOS MENTAIS E COM NECESSIDADES DE SAÚDE DECORRENTE DO USO DE ALCOOL, CRACK E OUTRAS D";"0,00"
2556;04.04.02.017;8;MAXILECTOMIA PARCIAL;"420,94"
10190;04.16.03.017;3;MAXILECTOMIA PARCIAL EM ONCOLOGIA;"3.812,42"
10191;04.16.03.018;1;MAXILECTOMIA TOTAL EM ONCOLOGIA;"4.956,14"
3815;04.09.02.006;0;MEATOTOMIA ENDOSCOPICA;"34,10"
3816;04.09.02.007;9;MEATOTOMIA SIMPLES;"32,68"
3994;04.12.02.001;7;MEDIASTINOTOMIA EXPLORADORA PARA-ESTERNAL / POR VIA ANTERIOR;"1.201,79"
3996;04.12.02.002;5;MEDIASTINOTOMIA EXTRAPLEURAL POR VIA POSTERIOR;"1.201,79"
3993;04.12.02.003;3;MEDIASTINOTOMIA P/ DRENAGEM;"1.253,51"
1193;02.11.06.013;5;MEDIDA DE OFUSCAMENTO E CONTRASTE;"3,37"
10398;07.01.02.064;4;MESA DE ATIVIDADES PARA CADEIRA DE RODAS (TABUA MESA);"150,00"
9818;06.04.01.007;9;MESALAZINA 1 G + DILUENTE 100 ML (ENEMA) - POR DOSE;"0,00"
9817;06.04.01.006;0;MESALAZINA 1000 MG (POR SUPOSITORIO);"0,00"
9815;06.04.01.004;4;MESALAZINA 250 MG (POR SUPOSITORIO);"0,00"
9819;06.04.01.008;7;MESALAZINA 3 G + DILUENTE 100 ML (ENEMA) - POR DOSE;"0,00"
9812;06.04.01.001;0;MESALAZINA 400 MG (POR COMPRIMIDO);"0,00"
9813;06.04.01.002;8;MESALAZINA 500 MG (POR COMPRIMIDO);"0,00"
9816;06.04.01.005;2;MESALAZINA 500 MG (POR SUPOSITORIO);"0,00"
9814;06.04.01.003;6;MESALAZINA 800 MG - POR COMPRIMIDO;"0,00"
9994;06.04.41.002;6;METADONA 10 MG (POR COMPRIMIDO);"0,00"
9995;06.04.41.003;4;METADONA 10 MG/ML INJETAVEL (POR AMPOLA DE 1 ML);"0,00"
9993;06.04.41.001;8;METADONA 5 MG (POR COMPRIMIDO);"0,00"
10212;04.16.04.022;5;METASTASECTOMIA HEPATICA EM ONCOLOGIA;"1.700,36"
4046;04.12.05.014;5;METASTASECTOMIA PULMONAR UNI OU BILATERAL (QUALQUER METODO);"1.260,27"
9003;06.03.01.001;6;METILPREDNISOLONA 500 MG INJENTAVEL (POR AMPOLA);"20,96"
9928;06.04.28.010;6;METILPREDNISOLONA 500 MG INJETAVEL (POR AMPOLA);"0,00"
8054;06.03.08.012;0;METILPREDNISOLONA 500MG INJETAVEL P/TRANSPLANTE(POR FRASCO AMPOLA);"20,96"
10438;06.04.53.002;1;"METOTREXATO 2,5 MG (POR COMPRIMIDO)";"0,00"
10439;06.04.53.003;0;METOTREXATO 25 MG/ML INJETAVEL (POR AMPOLA DE 2 ML);"0,00"
9947;06.04.32.005;1;MICOFENOLATO DE MOFETILA 500 MG (POR COMPRIMIDO);"0,00"
8060;06.03.08.013;8;MICOFENOLATO DE MOFETILA 500MG P/ TRANSPLANTE (POR COMPRIMIDO);"3,90"
9948;06.04.32.006;0;MICOFENOLATO DE SODIO 180 MG (POR COMPRIMIDO);"0,00"
8063;06.03.08.022;7;MICOFENOLATO DE SODIO 180MG P/TRANSPLANTE (POR COMPRIMIDO);"3,90"
9949;06.04.32.007;8;MICOFENOLATO DE SODIO 360 MG (POR COMPRIMIDO);"0,00"
8062;06.03.08.014;6;MICOFENOLATO DE SODIO 360MG P/ TRANSPLANTE (POR COMPRIMIDO);"3,90"
4932;07.02.05.035;0;MICRO CATETER;"1.650,00"
4936;07.02.01.017;0;MICRO CATETER FLUXO DEPENDENTE;"1.301,15"
4937;07.02.01.018;9;MICRO CATETER P/ BALAO;"1.419,41"
4933;07.02.05.036;9;MICRO GUIA;"830,00"
6555;02.13.01.045;3;MICRO-AGLUTINACAO P/ IDENTIFICACAO DE LEPTOSPIRAS (LEPTOSPIROSE);"0,00"
8013;07.02.01.019;7;MICROBALAO DE REMODELAGEM;"2.000,00"
2313;04.03.01.012;8;MICROCIRURGIA CEREBRAL ENDOSCOPICA;"3.169,61"
2372;04.03.05.006;5;MICROCIRURGIA COM CORDOTOMIA / MIELOTOMIA A CEU ABERTO;"850,16"
2375;04.03.05.007;3;MICROCIRURGIA COM RIZOTOMIA A CEU ABERTO;"1.578,66"
2314;04.03.01.013;6;MICROCIRURGIA DA SIRINGOMIELIA;"2.246,48"
2332;04.03.02.003;4;MICROCIRURGIA DE PLEXO BRAQUIAL COM EXPLORACAO E NEUROLISE;"800,70"
2333;04.03.02.004;2;MICROCIRURGIA DE PLEXO BRAQUIAL COM MICROENXERTIA;"1.521,84"
2349;04.03.03.008;0;MICROCIRURGIA DE TUMOR INTRADURAL E EXTRAMEDULAR;"2.605,25"
2350;04.03.03.010;2;MICROCIRURGIA DE TUMOR MEDULAR;"2.644,92"
2351;04.03.03.009;9;MICROCIRURGIA DE TUMOR MEDULAR COM TECNICA COMPLEMENTAR;"3.143,88"
2442;04.04.01.023;7;MICROCIRURGIA OTOLOGICA;"376,75"
2552;04.04.03.004;1;MICROCIRURGIA OTOLOGICA EM PACIENTE COM ANOMALIA CRANIO E BUCOMAXILOFACIAL;"487,61"
10538;04.03.04.011;6;"MICROCIRURGIA P/ARA ANEURISMA DA CIRCULACAO CEREBRAL ANTERIOR MENOR QUE 1,5 CM";"3.159,63"
10536;04.03.04.009;4;"MICROCIRURGIA PARA ANEURISMA DA CIRCULACAO CEREBRAL ANTERIOR MAIOR QUE 1,5 CM";"3.159,63"
10537;04.03.04.010;8;"MICROCIRURGIA PARA ANEURISMA DA CIRCULACAO CEREBRAL POSTERIOR (MAIOR QUE 1,5 CM)";"3.645,71"
10539;04.03.04.012;4;"MICROCIRURGIA PARA ANEURISMA DA CIRCULACAO CEREBRAL POSTERIOR MENOR QUE 1,5 CM";"3.645,71"
2352;04.03.03.011;0;MICROCIRURGIA PARA BIOPSIA DE MEDULA ESPINHAL OU RAIZES;"1.101,76"
2391;04.03.06.003;6;MICROCIRURGIA PARA LESIONECTOMIA COM MONITORAMENTO INTRAOPERATORIO;"5.123,87"
2388;04.03.06.004;4;MICROCIRURGIA PARA LESIONECTOMIA SEM MONITORAMENTO INTRA-OPERATORIO;"2.816,57"
2392;04.03.06.005;2;MICROCIRURGIA PARA LOBECTOMIA TEMPORAL / AMIGDALO-HIPOCAMPECTOMIA SELETIVA;"4.043,87"
2362;04.03.04.005;1;MICROCIRURGIA PARA MALFORMACAO ARTERIO-VENOSA CEREBRAL;"2.907,65"
2363;04.03.04.006;0;MICROCIRURGIA PARA MALFORMACAO ARTERIO-VENOSA CEREBRAL PROFUNDA;"3.042,05"
2393;04.03.06.006;0;MICROCIRURGIA PARA RESSECCAO MULTILOBAR / HEMISFERECTOMIA / CALOSOTOMIA;"5.794,07"
2390;04.03.06.007;9;MICROCIRURGIA PARA RESSECCAO UNILOBAR EXTRATEMPORAL COM MONITORAMENTO INTRAOPERATORIO;"5.095,15"
2387;04.03.06.008;7;MICROCIRURGIA PARA RESSECCAO UNILOBAR EXTRATEMPORAL SEM MONITORAMENTO INTRA-OPERATORIO;"2.924,57"
2356;04.03.03.012;9;MICROCIRURGIA PARA TUMOR DA BASE DO CRANIO;"3.636,09"
2353;04.03.03.013;7;MICROCIRURGIA PARA TUMOR DE ORBITA;"2.664,13"
2354;04.03.03.014;5;MICROCIRURGIA PARA TUMOR INTRACRANIANO;"3.159,63"
2355;04.03.03.015;3;MICROCIRURGIA PARA TUMOR INTRACRANIANO (COM TECNICA COMPLEMENTAR);"3.824,25"
2364;04.03.04.007;8;MICROCIRURGIA VASCULAR INTRACRANIANA (COM TECNICA COMPLEMENTAR);"3.457,55"
2334;04.03.02.005;0;MICRONEUROLISE DE NERVO PERIFERICO;"785,04"
2335;04.03.02.006;9;MICRONEURORRAFIA;"1.401,75"
1204;02.11.06.014;3;MICROSCOPIA ESPECULAR DE CORNEA;"24,24"
2414;04.03.08.004;5;MIECTOMIA SUPERSELETIVA;"1.666,56"
6509;02.04.02.001;8;MIELOGRAFIA;"118,60"
628;02.02.09.019;1;MIELOGRAMA;"5,79"
