CODIGO;DESCRICAO_CID;CATEGORIA
D117;Neoplasia benigna de outras glândulas salivares maiores;Neoplasia benigna de glândulas salivares maiores
D119;"Neoplasia benigna da glândula salivar maior, não especificada";Neoplasia benigna de glândulas salivares maiores
D12;"Neoplasia benigna do cólon, reto, canal anal e ânus";"Neoplasia benigna do cólon, reto, canal anal e ânus"
D120;Neoplasia benigna do ceco;"Neoplasia benigna do cólon, reto, canal anal e ânus"
D121;Neoplasia benigna do apêndice (vermiforme);"Neoplasia benigna do cólon, reto, canal anal e ânus"
D122;Neoplasia benigna do cólon ascendente;"Neoplasia benigna do cólon, reto, canal anal e ânus"
D123;Neoplasia benigna do cólon transverso;"Neoplasia benigna do cólon, reto, canal anal e ânus"
D124;Neoplasia benigna do cólon descendente;"Neoplasia benigna do cólon, reto, canal anal e ânus"
D125;Neoplasia benigna do cólon sigmóide;"Neoplasia benigna do cólon, reto, canal anal e ânus"
D126;"Neoplasia benigna do cólon, não especificada";"Neoplasia benigna do cólon, reto, canal anal e ânus"
D127;Neoplasia benigna da junção retossigmóide;"Neoplasia benigna do cólon, reto, canal anal e ânus"
D128;Neoplasia benigna do reto;"Neoplasia benigna do cólon, reto, canal anal e ânus"
D129;Neoplasia benigna do canal anal e ânus;"Neoplasia benigna do cólon, reto, canal anal e ânus"
D13;Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo;Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo
D130;Neoplasia benigna do esôfago;Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo
D131;Neoplasia benigna do estômago;Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo
D132;Neoplasia benigna do duodeno;Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo
D133;Neoplasia benigna de outras partes e partes não especificadas do intestino delgado;Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo
D134;Neoplasia benigna do fígado;Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo
D135;Neoplasia benigna das vias biliares extra-hepáticas;Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo
D136;Neoplasia benigna do pâncreas;Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo
D137;Neoplasia benigna do pâncreas endócrino;Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo
D139;Neoplasia benigna de localizações mal definidas do aparelho digestivo;Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo
D14;Neoplasia benigna do ouvido médio e do aparelho respiratório;Neoplasia benigna do ouvido médio e do aparelho respiratório
D140;"Neoplasia benigna do ouvido médio, cavidade nasal e seios paranasais";Neoplasia benigna do ouvido médio e do aparelho respiratório
D141;Neoplasia benigna da laringe;Neoplasia benigna do ouvido médio e do aparelho respiratório
D142;Neoplasia benigna da traquéia;Neoplasia benigna do ouvido médio e do aparelho respiratório
D143;Neoplasia benigna dos brônquios e pulmão;Neoplasia benigna do ouvido médio e do aparelho respiratório
D144;"Neoplasia benigna do aparelho respiratório, não especificado";Neoplasia benigna do ouvido médio e do aparelho respiratório
D15;Neoplasia benigna de outros órgãos intratorácicos e dos não especificados;Neoplasia benigna de outros órgãos intratorácicos e dos não especificados
D150;Neoplasia benigna do timo;Neoplasia benigna de outros órgãos intratorácicos e dos não especificados
D151;Neoplasia benigna do coração;Neoplasia benigna de outros órgãos intratorácicos e dos não especificados
D152;Neoplasia benigna do mediastino;Neoplasia benigna de outros órgãos intratorácicos e dos não especificados
D157;Neoplasia benigna de outros órgãos intratorácicos especificados;Neoplasia benigna de outros órgãos intratorácicos e dos não especificados
D159;"Neoplasia benigna de órgão intratorácico, não especificado";Neoplasia benigna de outros órgãos intratorácicos e dos não especificados
D16;Neoplasia benigna de osso e de cartilagem articular;Neoplasia benigna de osso e de cartilagem articular
D160;Neoplasia benigna da omoplata [escápula] e ossos longos dos membros superiores;Neoplasia benigna de osso e de cartilagem articular
D161;Neoplasia benigna dos ossos curtos dos membros superiores;Neoplasia benigna de osso e de cartilagem articular
D162;Neoplasia benigna dos ossos longos dos membros inferiores;Neoplasia benigna de osso e de cartilagem articular
D163;Neoplasia benigna dos ossos curtos dos membros inferiores;Neoplasia benigna de osso e de cartilagem articular
D164;Neoplasia benigna dos ossos do crânio e da face;Neoplasia benigna de osso e de cartilagem articular
D165;Neoplasia benigna do osso da mandíbula;Neoplasia benigna de osso e de cartilagem articular
D166;Neoplasia benigna da coluna vertebral;Neoplasia benigna de osso e de cartilagem articular
D167;"Neoplasia benigna das costelas, do esterno e da clavícula";Neoplasia benigna de osso e de cartilagem articular
D168;"Neoplasia benigna dos ossos pélvicos, sacro e cóccix";Neoplasia benigna de osso e de cartilagem articular
D169;"Neoplasia benigna do osso e cartilagem articular, não especificado";Neoplasia benigna de osso e de cartilagem articular
D17;Neoplasia lipomatosa benigna;Neoplasia lipomatosa benigna
D170;"Neoplasia lipomatosa benigna da pele e do tecido subcutâneo da cabeça, face e pescoço";Neoplasia lipomatosa benigna
D171;Neoplasia lipomatosa benigna da pele e tecido subcutâneo do tronco;Neoplasia lipomatosa benigna
D172;Neoplasia lipomatosa benigna da pele e tecido subcutâneo dos membros;Neoplasia lipomatosa benigna
D173;Neoplasia lipomatosa benigna da pele e tecido subcutâneo de outras localizações e de localizações não especificadas;Neoplasia lipomatosa benigna
D174;Neoplasia lipomatosa benigna de órgãos intratorácicos;Neoplasia lipomatosa benigna
D175;Neoplasia lipomatosa benigna de órgãos intra-abdominais;Neoplasia lipomatosa benigna
D176;Neoplasia lipomatosa benigna do cordão espermático;Neoplasia lipomatosa benigna
D177;Neoplasia lipomatosa benigna de outras localizações;Neoplasia lipomatosa benigna
D179;Neoplasia lipomatosa benigna de localização não especificada;Neoplasia lipomatosa benigna
D18;Hemangioma e linfangioma de qualquer localização;Hemangioma e linfangioma de qualquer localização
D180;Hemangioma de qualquer localização;Hemangioma e linfangioma de qualquer localização
D181;Linfangioma de qualquer localização;Hemangioma e linfangioma de qualquer localização
D19;Neoplasia benigna de tecido mesotelial;Neoplasia benigna de tecido mesotelial
D190;Neoplasia benigna do tecido mesotelial da pleura;Neoplasia benigna de tecido mesotelial
D191;Neoplasia benigna do tecido mesotelial do peritônio;Neoplasia benigna de tecido mesotelial
D197;Neoplasia benigna do tecido mesotelial de outras localizações;Neoplasia benigna de tecido mesotelial
D199;"Neoplasia benigna do tecido mesotelial, não especificado";Neoplasia benigna de tecido mesotelial
D20;Neoplasia benigna de tecido mole do retroperitônio e do peritônio;Neoplasia benigna de tecido mole do retroperitônio e do peritônio
D200;Neoplasia benigna do retroperitônio;Neoplasia benigna de tecido mole do retroperitônio e do peritônio
D201;Neoplasia benigna do peritônio;Neoplasia benigna de tecido mole do retroperitônio e do peritônio
D21;Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles;Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles
D210;"Neoplasia benigna do tecido conjuntivo e outros tecidos moles da cabeça, face e pescoço";Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles
D211;"Neoplasia benigna do tecido conjuntivo e outros tecidos moles dos membros superiores, incluindo ombro";Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles
D212;"Neoplasia benigna do tecido conjuntivo e outros tecidos moles dos membros inferiores, incluindo quadril";Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles
D213;Neoplasia benigna do tecido conjuntivo e outros tecidos moles do tórax;Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles
D214;Neoplasia benigna do tecido conjuntivo e outros tecidos moles do abdome;Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles
D215;Neoplasia benigna do tecido conjuntivo e outros tecidos moles da pelve;Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles
D216;"Neoplasia benigna do tecido conjuntivo e outros tecidos moles do tronco, não especificado";Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles
D219;"Neoplasia benigna do tecido conjuntivo e outros tecidos moles, sem outra especificação";Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles
D22;Nevos melanocíticos;Nevos melanocíticos
D220;Nevo melanocítico do lábio;Nevos melanocíticos
D221;"Nevo melanocítico da pálpebra, incluindo o canto";Nevos melanocíticos
D222;Nevo melanocítico da orelha e do conduto auditivo externo;Nevos melanocíticos
D223;Nevo melanocítico de outras partes e de partes não especificadas da face;Nevos melanocíticos
D224;Nevo melanocítico do couro cabeludo e do pescoço;Nevos melanocíticos
D225;Nevo melanocítico do tronco;Nevos melanocíticos
D226;"Nevo melanocítico dos membros superiores, incluindo ombro";Nevos melanocíticos
D227;"Nevo melanocítico dos membros inferiores, incluindo quadril";Nevos melanocíticos
D229;"Nevo melanocítico, não especificado";Nevos melanocíticos
D23;Outras neoplasias benignas da pele;Outras neoplasias benignas da pele
D230;Neoplasia benigna da pele dos lábios;Outras neoplasias benignas da pele
D231;"Neoplasia benigna da pele da pálpebra, incluindo o canto";Outras neoplasias benignas da pele
D232;Neoplasia benigna da pele da orelha e do conduto auditivo externo;Outras neoplasias benignas da pele
D233;Neoplasia benigna da pele de outras partes e de partes não especificadas da face;Outras neoplasias benignas da pele
D234;Neoplasia benigna da pele do couro cabeludo e do pescoço;Outras neoplasias benignas da pele
D235;Neoplasia benigna da pele do tronco;Outras neoplasias benignas da pele
D236;"Neoplasia benigna da pele dos membros superiores, incluindo o ombro";Outras neoplasias benignas da pele
D237;"Neoplasia benigna da pele dos membros inferiores, incluindo o quadril";Outras neoplasias benignas da pele
D239;"Neoplasia benigna da pele, não especificada";Outras neoplasias benignas da pele
D24;Neoplasia benigna da mama;Neoplasia benigna da mama
D25;Leiomioma do útero;Neoplasia benigna da mama
D250;Leiomioma submucoso do útero;Neoplasia benigna da mama
D251;Leiomioma intramural do útero;Neoplasia benigna da mama
D252;Leiomioma subseroso do útero;Neoplasia benigna da mama
D259;"Leiomioma do útero, não especificado";Neoplasia benigna da mama
D26;Outras neoplasias benignas do útero;Outras neoplasias benignas do útero
D260;Neoplasia benigna do colo do útero;Outras neoplasias benignas do útero
D261;Neoplasia benigna do corpo do útero;Outras neoplasias benignas do útero
D267;Neoplasia benigna de outras partes do útero;Outras neoplasias benignas do útero
D269;"Neoplasia benigna do útero, não especificado";Outras neoplasias benignas do útero
D27;Neoplasia benigna do ovário;Neoplasia benigna do ovário
D28;Neoplasia benigna de outros órgãos genitais femininos e de órgãos não especificados;Neoplasia benigna de outros órgãos genitais femininos e de órgãos não especificados
D280;Neoplasia benigna da vulva;Neoplasia benigna de outros órgãos genitais femininos e de órgãos não especificados
D281;Neoplasia benigna da vagina;Neoplasia benigna de outros órgãos genitais femininos e de órgãos não especificados
D282;Neoplasia benigna das trompas e ligamentos uterinos;Neoplasia benigna de outros órgãos genitais femininos e de órgãos não especificados
D287;Neoplasia benigna de outros órgãos genitais femininos especificados;Neoplasia benigna de outros órgãos genitais femininos e de órgãos não especificados
D289;"Neoplasia benigna de órgão genital feminino, não especificado";Neoplasia benigna de outros órgãos genitais femininos e de órgãos não especificados
D29;Neoplasia benigna dos órgãos genitais masculinos;Neoplasia benigna dos órgãos genitais masculinos
D290;Neoplasia benigna do pênis;Neoplasia benigna dos órgãos genitais masculinos
D291;Neoplasia benigna da próstata;Neoplasia benigna dos órgãos genitais masculinos
D292;Neoplasia benigna dos testículos;Neoplasia benigna dos órgãos genitais masculinos
D293;Neoplasia benigna do epidídimo;Neoplasia benigna dos órgãos genitais masculinos
D294;Neoplasia benigna do escroto;Neoplasia benigna dos órgãos genitais masculinos
D297;Neoplasia benigna de outros órgãos genitais masculinos;Neoplasia benigna dos órgãos genitais masculinos
D299;"Neoplasia benigna de órgão genital masculino, não especificado";Neoplasia benigna dos órgãos genitais masculinos
D30;Neoplasia benigna dos órgãos urinários;Neoplasia benigna dos órgãos urinários
D300;Neoplasia benigna do rim;Neoplasia benigna dos órgãos urinários
D301;Neoplasia benigna da pelve renal;Neoplasia benigna dos órgãos urinários
D302;Neoplasia benigna do ureter;Neoplasia benigna dos órgãos urinários
D303;Neoplasia benigna da bexiga;Neoplasia benigna dos órgãos urinários
D304;Neoplasia benigna da uretra;Neoplasia benigna dos órgãos urinários
D307;Neoplasia benigna de outros órgãos urinários;Neoplasia benigna dos órgãos urinários
D309;"Neoplasia benigna de órgão urinário, não especificado";Neoplasia benigna dos órgãos urinários
D31;Neoplasia benigna do olho e anexos;Neoplasia benigna do olho e anexos
D310;Neoplasia benigna da conjuntiva;Neoplasia benigna do olho e anexos
D311;Neoplasia benigna da córnea;Neoplasia benigna do olho e anexos
D312;Neoplasia benigna da retina;Neoplasia benigna do olho e anexos
D313;Neoplasia benigna da coróide;Neoplasia benigna do olho e anexos
D314;Neoplasia benigna do corpo ciliar;Neoplasia benigna do olho e anexos
D315;Neoplasia benigna das glândulas e dos canais lacrimais;Neoplasia benigna do olho e anexos
D316;"Neoplasia benigna da órbita, não especificada";Neoplasia benigna do olho e anexos
D319;"Neoplasia benigna do olho, não especificado";Neoplasia benigna do olho e anexos
D32;Neoplasia benigna das meninges;Neoplasia benigna das meninges
D320;Neoplasia benigna das meninges cerebrais;Neoplasia benigna das meninges
D321;Neoplasia benigna das meninges espinhais;Neoplasia benigna das meninges
D329;"Neoplasia benigna das meninges, não especificada";Neoplasia benigna das meninges
D33;Neoplasia benigna do encéfalo e de outras partes do sistema nervoso central;Neoplasia benigna do encéfalo e de outras partes do sistema nervoso central
D330;"Neoplasia benigna do encéfalo, supratentorial";Neoplasia benigna do encéfalo e de outras partes do sistema nervoso central
D331;"Neoplasia benigna do encéfalo, infratentorial";Neoplasia benigna do encéfalo e de outras partes do sistema nervoso central
D332;"Neoplasia benigna do encéfalo, não especificado";Neoplasia benigna do encéfalo e de outras partes do sistema nervoso central
D333;Neoplasia benigna dos nervos cranianos;Neoplasia benigna do encéfalo e de outras partes do sistema nervoso central
D334;Neoplasia benigna da medula espinhal;Neoplasia benigna do encéfalo e de outras partes do sistema nervoso central
D337;Neoplasia benigna de outras partes especificadas do sistema nervoso central;Neoplasia benigna do encéfalo e de outras partes do sistema nervoso central
D339;"Neoplasia benigna do sistema nervoso central, não especificado";Neoplasia benigna do encéfalo e de outras partes do sistema nervoso central
D34;Neoplasia benigna da glândula tireóide;Neoplasia benigna da glândula tireóide
D35;Neoplasia benigna de outras glândulas endócrinas e das não especificadas;Neoplasia benigna de outras glândulas endócrinas e das não especificadas
D350;Neoplasia benigna da glândula supra-renal (adrenal);Neoplasia benigna de outras glândulas endócrinas e das não especificadas
D351;Neoplasia benigna da glândula paratireóide;Neoplasia benigna de outras glândulas endócrinas e das não especificadas
D352;Neoplasia benigna da glândula hipófise (pituitária);Neoplasia benigna de outras glândulas endócrinas e das não especificadas
D353;Neoplasia benigna do conduto craniofaríngeo;Neoplasia benigna de outras glândulas endócrinas e das não especificadas
D354;Neoplasia benigna da glândula pineal;Neoplasia benigna de outras glândulas endócrinas e das não especificadas
D355;Neoplasia benigna do corpo carotídeo;Neoplasia benigna de outras glândulas endócrinas e das não especificadas
D356;Neoplasia benigna dos corpos aórticos e outros paragânglios;Neoplasia benigna de outras glândulas endócrinas e das não especificadas
D357;Neoplasia benigna de outras glândulas endócrinas especificadas;Neoplasia benigna de outras glândulas endócrinas e das não especificadas
D358;Neoplasia benigna com comprometimento pluriglandular;Neoplasia benigna de outras glândulas endócrinas e das não especificadas
D359;"Neoplasia benigna de glândula endócrina, não especificada";Neoplasia benigna de outras glândulas endócrinas e das não especificadas
D36;Neoplasia benigna de outras localizações e de localizações não especificadas;Neoplasia benigna de outras localizações e de localizações não especificadas
D360;Neoplasia benigna dos gânglios linfáticos (linfonodos);Neoplasia benigna de outras localizações e de localizações não especificadas
D361;Neoplasia benigna dos nervos periféricos e sistema nervoso autônomo;Neoplasia benigna de outras localizações e de localizações não especificadas
D367;Neoplasia benigna de outras localizações especificadas;Neoplasia benigna de outras localizações e de localizações não especificadas
D369;Neoplasia benigna de localização não especificada;Neoplasia benigna de outras localizações e de localizações não especificadas
D37;Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos;Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos
D370;"Neoplasia de comportamento incerto ou desconhecido do lábio, cavidade oral e faringe";Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos
D371;Neoplasia de comportamento incerto ou desconhecido do estômago;Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos
D372;Neoplasia de comportamento incerto ou desconhecido do intestino delgado;Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos
D373;Neoplasia de comportamento incerto ou desconhecido do apêndice;Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos
D374;Neoplasia de comportamento incerto ou desconhecido dos cólons;Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos
D375;Neoplasia de comportamento incerto ou desconhecido do reto;Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos
D376;"Neoplasia de comportamento incerto ou desconhecido do fígado, vesícula biliar e vias biliares";Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos
D377;Neoplasia de comportamento incerto ou desconhecido de outros órgãos digestivos;Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos
D379;"Neoplasia de comportamento incerto ou desconhecido de órgão digestivo, não especificado";Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos
D38;Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos;Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos
D380;Neoplasia de comportamento incerto ou desconhecido da laringe;Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos
D381;"Neoplasia de comportamento incerto ou desconhecido da traquéia, brônquios e pulmão";Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos
D382;Neoplasia de comportamento incerto ou desconhecido da pleura;Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos
D383;Neoplasia de comportamento incerto ou desconhecido do mediastino;Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos
D384;Neoplasia de comportamento incerto ou desconhecido do timo;Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos
D385;Neoplasia de comportamento incerto ou desconhecido de outros órgãos respiratórios;Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos
D386;"Neoplasia de comportamento incerto ou desconhecido de órgão respiratório, não especificado";Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos
D39;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos
D390;Neoplasia de comportamento incerto ou desconhecido do útero;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos
D391;Neoplasia de comportamento incerto ou desconhecido do ovário;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos
D392;Neoplasia de comportamento incerto ou desconhecido da placenta;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos
D397;Neoplasia de comportamento incerto ou desconhecido de outros órgãos genitais femininos;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos
D399;"Neoplasia de comportamento incerto ou desconhecido de órgão genital feminino, não especificado";Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos
D40;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos
D400;Neoplasia de comportamento incerto ou desconhecido da próstata;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos
D401;Neoplasia de comportamento incerto ou desconhecido do testículo;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos
D407;Neoplasia de comportamento incerto ou desconhecido de outros órgãos genitais masculinos;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos
D409;"Neoplasia de comportamento incerto ou desconhecido de órgão genital masculino, não especificado";Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos
D41;Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários;Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários
D410;Neoplasia de comportamento incerto ou desconhecido do rim;Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários
D411;Neoplasia de comportamento incerto ou desconhecido da pelve renal;Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários
D412;Neoplasia de comportamento incerto ou desconhecido do ureter;Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários
D413;Neoplasia de comportamento incerto ou desconhecido da uretra;Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários
D414;Neoplasia de comportamento incerto ou desconhecido da bexiga;Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários
D417;Neoplasia de comportamento incerto ou desconhecido de outros órgãos urinários;Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários
D419;"Neoplasia de comportamento incerto ou desconhecido de órgão urinário, não especificado";Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários
D42;Neoplasia de comportamento incerto ou desconhecido das meninges;Neoplasia de comportamento incerto ou desconhecido das meninges
D420;Neoplasia de comportamento incerto ou desconhecido das meninges cerebrais;Neoplasia de comportamento incerto ou desconhecido das meninges
D421;Neoplasia de comportamento incerto ou desconhecido das meninges espinhais;Neoplasia de comportamento incerto ou desconhecido das meninges
D429;Neoplasia de comportamento incerto ou desconhecido de meninges não especificadas;Neoplasia de comportamento incerto ou desconhecido das meninges
D43;Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central;Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central
D430;"Neoplasia de comportamento incerto ou desconhecido do encéfalo, supratentorial";Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central
D431;"Neoplasia de comportamento incerto ou desconhecido do encéfalo, infratentorial";Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central
D432;"Neoplasia de comportamento incerto ou desconhecido do encéfalo, não especificado";Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central
D433;Neoplasia de comportamento incerto ou desconhecido dos nervos cranianos;Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central
D434;Neoplasia de comportamento incerto ou desconhecido da medula espinhal;Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central
D437;Neoplasia de comportamento incerto ou desconhecido de outras partes do sistema nervoso central;Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central
D439;"Neoplasia de comportamento incerto ou desconhecido do sistema nervoso central, não especificado";Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central
D44;Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas;Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas
D440;Neoplasia de comportamento incerto ou desconhecido da glândula tireóide;Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas
D441;Neoplasia de comportamento incerto ou desconhecido da glândula supra-renal (adrenal);Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas
D442;Neoplasia de comportamento incerto ou desconhecido da glândula paratireóide;Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas
D443;Neoplasia de comportamento incerto ou desconhecido da glândula hipófise (pituitária);Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas
D444;Neoplasia de comportamento incerto ou desconhecido do conduto craniofaríngeo;Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas
D445;Neoplasia de comportamento incerto ou desconhecido da glândula pineal;Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas
D446;Neoplasia de comportamento incerto ou desconhecido do corpo carotídeo;Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas
D447;Neoplasia de comportamento incerto ou desconhecido dos corpos aórticos e outros paragânglios;Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas
D448;Neoplasia de comportamento incerto ou desconhecido com comprometimento pluriglandular;Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas
D449;"Neoplasia de comportamento incerto ou desconhecido de glândula endócrina, não especificada";Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas
D45;Policitemia vera;Policitemia vera
D46;Síndromes mielodisplásicas;Síndromes mielodisplásicas
D460;Anemia refratária sem sideroblastos;Síndromes mielodisplásicas
D461;Anemia refratária com sideroblastos;Síndromes mielodisplásicas
D462;Anemia refratária com excesso de blastos;Síndromes mielodisplásicas
D463;Anemia refratária com excesso de blastos com transformação;Síndromes mielodisplásicas
D464;"Anemia refratária, não especificada";Síndromes mielodisplásicas
D467;Outras síndromes mielodisplásicas;Síndromes mielodisplásicas
D469;"Síndrome mielodisplásica, não especificada";Síndromes mielodisplásicas
D47;"Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos";"Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos"
D470;Tumores de comportamento incerto ou desconhecido de mastócitos e células histiocíticas;"Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos"
D471;Doença mieloproliferativa crônica;"Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos"
D472;Gamopatia monoclonal;"Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos"
D473;Trombocitemia essencial (hemorrágica);"Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos"
D477;"Outras neoplasias especificadas de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos relacionados";"Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos"
D479;"Neoplasia de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos, não especificada";"Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos"
D48;Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas;Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas
D480;Neoplasia de comportamento incerto ou desconhecido dos ossos e cartilagens articulares;Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas
D481;Neoplasia de comportamento incerto ou desconhecido do tecido conjuntivo e outros tecidos moles;Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas
D482;Neoplasia de comportamento incerto ou desconhecido dos nervos periféricos e do sistema nervoso periférico;Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas
D483;Neoplasia de comportamento incerto ou desconhecido do retroperitônio;Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas
D484;Neoplasia de comportamento incerto ou desconhecido do peritônio;Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas
D485;Neoplasia de comportamento incerto ou desconhecido da pele;Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas
D486;Neoplasia de comportamento incerto ou desconhecido da mama;Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas
D487;Neoplasia de comportamento incerto ou desconhecido de outras localizações especificadas;Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas
D489;Neoplasia de comportamento incerto ou desconhecido sem outra especificação;Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas
D50;Anemia por deficiência de ferro;Anemia por deficiência de ferro
