Vigência	Município	"Qtd. Beneficiários
 A serem acompanhados"	Qtd. beneficiários acompanhados	Perc. cobertura de beneficiários acompanhados (%)	Qtd. criança a ser acompanhada	Qtd. criança acompanhada	Perc. cobertura do acomp. de crianças (%)	Qtd. criança com dados nutricionais	Perc. crianças com dados nutricionais (%)	Qtd. gestantes estimadas	Qtd. gestantes localizadas	Perc. de cobertura de gestantes localizadas (%)	Qtd. gestantes com dados nutric.	Perc. gestantes com dados nutric. (%)
2020_1	PACUJÁ	1.398	467	33,40%	440	9	2,05%	9	100%	19	22	115,79%	18	81,82%
2020_1	PIRES FERREIRA	2.355	2.327	98,81%	523	512	97,90%	512	100%	22	49	222,73%	40	81,63%
2020_1	RERIUTABA	3.953	2.067	52,29%	1.085	68	6,27%	68	100%	51	101	198,04%	58	57,43%
2020_1	SANTANA DO ACARAÚ	8.878	4.427	49,86%	2.496	216	8,65%	216	100%	120	275	229,17%	195	70,91%
2020_1	SANTA QUITÉRIA	9.753	5.053	51,81%	2.584	32	1,24%	32	100%	109	175	160,55%	73	41,71%
2020_1	SENADOR SÁ	1.803	507	28,12%	564	6	1,06%	6	100%	23	15	65,22%	0	0%
2020_1	SOBRAL	29.930	14.616	48,83%	8.513	559	6,57%	559	100%	422	833	197,39%	567	68,07%
2020_1	URUOCA	3.467	1.821	52,52%	957	14	1,46%	14	100%	41	43	104,88%	29	67,44%
2020_1	VARJOTA	3.854	2.072	53,76%	1.208	48	3,97%	48	100%	49	109	222,45%	73	66,97%
2020_1	ACARAÚ	17.349	6.821	39,32%	5.186	85	1,64%	83	97,65%	295	496	168,14%	194	39,11%
2020_1	BELA CRUZ	7.768	4.048	52,11%	2.201	43	1,95%	31	72,09%	95	234	246,32%	211	90,17%
2020_1	CRUZ	7.014	5.461	77,86%	1.910	1.062	55,60%	850	80,04%	110	235	213,64%	224	95,32%
2020_1	ITAREMA	12.953	5.831	45,02%	3.958	758	19,15%	758	100%	243	327	134,57%	265	81,04%
2020_1	JIJOCA DE JERICOACOARA	3.719	1.693	45,52%	1.191	15	1,26%	15	100%	61	63	103,28%	23	36,51%
2020_1	MARCO	7.388	2.651	35,88%	2.449	144	5,88%	144	100%	138	253	183,33%	228	90,12%
2020_1	MORRINHOS	5.234	2.175	41,56%	1.624	21	1,29%	21	100%	76	178	234,21%	66	37,08%
2020_1	CARNAUBAL	3.866	2.799	72,40%	1.078	443	41,09%	442	99,77%	54	126	233,33%	99	78,57%
2020_1	CROATÁ	5.156	2.974	57,68%	1.342	93	6,93%	93	100%	52	153	294,23%	102	66,67%
2020_1	GUARACIABA DO NORTE	12.071	9.266	76,76%	3.626	2.110	58,19%	2.109	99,95%	203	328	161,58%	153	46,65%
2020_1	IBIAPINA	6.436	5.247	81,53%	1.773	1.149	64,81%	1.107	96,34%	84	176	209,52%	99	56,25%
2020_1	SÃO BENEDITO	10.349	4.102	39,64%	3.324	192	5,78%	188	97,92%	177	353	199,44%	303	85,84%
2020_1	TIANGUÁ	19.377	7.742	39,95%	5.971	942	15,78%	942	100%	388	437	112,63%	328	75,06%
2020_1	UBAJARA	8.790	5.782	65,78%	2.417	821	33,97%	821	100%	115	293	254,78%	164	55,97%
2020_1	VIÇOSA DO CEARÁ	18985	14.837	78,15%	539600,00%	3.676	100%	367600%	100%	28100%	653	100%	50700%	77,64%
2020_1	ARARENDÁ	2.817	1.340	47,57%	787	53	6,73%	53	100%	34	57	167,65%	44	77,19%
2020_1	CRATEÚS	13.153	8.372	63,65%	3.665	1.565	42,70%	975	62,30%	166	286	172,29%	163	56,99%
2020_1	INDEPENDÊNCIA	7.240	4.110	56,77%	1.792	43	2,40%	43	100%	87	206	236,78%	149	72,33%
2020_1	IPAPORANGA	2.848	1.492	52,39%	803	42	5,23%	42	100%	39	77	197,44%	63	81,82%
2020_1	IPUEIRAS	8.257	3.650	44,20%	2.395	36	1,50%	36	100%	109	249	228,44%	209	83,94%
2020_1	MONSENHOR TABOSA	4.821	1.615	33,50%	1.489	4	0,27%	4	100%	67	46	68,66%	30	65,22%
2020_1	NOVA RUSSAS	6.447	4.200	65,15%	1.595	195	12,23%	195	100%	72	138	191,67%	99	71,74%
2020_1	NOVO ORIENTE	8.176	3.942	48,21%	2.101	31	1,48%	31	100%	111	217	195,50%	176	81,11%
2020_1	PORANGA	3.341	2.579	77,19%	924	585	63,31%	585	100%	46	78	169,57%	60	76,92%
2020_1	QUITERIANOPÓLES	5.499	4.643	84,43%	1.367	914	66,86%	914	100%	58	145	250%	86	59,31%
2020_1	TAMBORIL	7.162	4.575	63,88%	1.803	581	32,22%	581	100%	84	182	216,67%	81	44,51%
2020_1	BARROQUINHA	4.358	2.054	47,13%	1.173	164	13,98%	164	100%	66	83	125,76%	55	66,27%
2020_1	CAMOCIM	12.939	4.318	33,37%	3.832	54	1,41%	50	92,59%	194	141	72,68%	76	53,90%
2020_1	CHAVAL	3.814	2.233	58,55%	1.125	315	28%	315	100%	52	93	178,85%	75	80,65%
2020_1	GRANJA	13.534	6.462	47,75%	3.750	380	10,13%	380	100%	203	225	110,84%	163	72,44%
2020_1	MARTINÓPOLE	3.217	1.485	46,16%	936	10	1,07%	10	100%	45	100	222,22%	50	50%
2020_1	ARACATI	11.416	6.026	52,79%	2.971	42	1,41%	42	100%	147	274	186,39%	136	49,64%
2020_1	FORTIM	3.897	3.341	85,73%	887	573	64,60%	572	99,83%	43	83	193,02%	71	85,54%
2020_1	ICAPUÍ	4.878	2.121	43,48%	1.334	35	2,62%	35	100%	71	110	154,93%	33	30%
2020_1	ITAIÇABA	1.736	1.642	94,59%	395	347	87,85%	347	100%	18	25	138,89%	12	48%
2020_1	JAGUARETAMA	5.456	5.344	97,95%	1.291	1.274	98,68%	1.099	86,26%	53	158	298,11%	104	65,82%
2020_1	JAGUARUANA	9.020	5.236	58,05%	2.289	237	10,35%	237	100%	109	233	213,76%	174	74,68%
2020_1	MORADA NOVA	16.758	10.920	65,16%	3.903	684	17,52%	679	99,27%	197	389	197,46%	216	55,53%
2020_1	PALHANO	2.126	1.155	54,33%	555	11	1,98%	11	100%	25	65	260%	26	40%
2020_1	RUSSAS	10.590	4.954	46,78%	2.949	35	1,19%	35	100%	132	253	191,67%	168	66,40%
2020_1	ALTO SANTO	3.419	3.252	95,12%	887	799	90,08%	799	100%	35	87	248,57%	48	55,17%
2020_1	ERERÊ	1.213	90	7,42%	404	1	0,25%	1	100%	5	10	200%	4	40%
2020_1	IRACEMA	3.219	1.628	50,57%	932	20	2,15%	20	100%	35	53	151,43%	42	79,25%
2020_1	JAGUARIBARA	2.681	1.560	58,19%	750	52	6,93%	52	100%	33	47	142,42%	29	61,70%
2020_1	JAGUARIBE	7.170	4.568	63,71%	1.820	138	7,58%	138	100%	94	172	182,98%	40	23,26%
2020_1	LIMOEIRO DO NORTE	10.894	5.418	49,73%	2.785	92	3,30%	92	100%	144	273	189,58%	224	82,05%
2020_1	PEREIRO	4.060	2.330	57,39%	1.098	132	12,02%	132	100%	48	112	233,33%	84	75%
2020_1	POTIRETAMA	1.681	768	45,69%	465	20	4,30%	20	100%	23	48	208,70%	14	29,17%
2020_1	QUIXERÉ	3.880	2.265	58,38%	955	25	2,62%	25	100%	47	113	240,43%	100	88,50%
2020_1	SÃO JOÃO DO JAGUARIBE	1.369	1.282	93,64%	275	223	81,09%	223	100%	13	14	107,69%	4	28,57%
2020_1	TABULEIRO DO NORTE	6.820	5.437	79,72%	1.573	886	56,33%	871	98,31%	69	194	281,16%	164	84,54%
2020_1	BAIXIO	1.596	992	62,16%	410	22	5,37%	22	100%	20	36	180%	17	47,22%
2020_1	CEDRO	5.643	2.962	52,49%	1.493	193	12,93%	193	100%	72	149	206,94%	109	73,15%
2020_1	ICÓ	17.884	9.137	51,09%	4.747	212	4,47%	212	100%	244	521	213,52%	338	64,88%
2020_1	IPAUMIRIM	3.328	1.400	42,07%	973	3	0,31%	3	100%	51	91	178,43%	75	82,42%
2020_1	LAVRAS DA MANGABEIRA	6.640	2.372	35,72%	2.030	564	27,78%	564	100%	86	110	127,91%	101	91,82%
2020_1	ORÓS	7.250	6.298	86,87%	1.710	1.254	73,33%	1.254	100%	91	144	158,24%	115	79,86%
2020_1	UMARI	1.951	932	47,77%	541	15	2,77%	15	100%	25	33	132%	24	72,73%
2020_1	ACOPIARA	12.733	6.845	53,76%	3.246	359	11,06%	359	100%	144	276	191,67%	196	71,01%
2020_1	CARIÚS	4.339	3.328	76,70%	1.029	532	51,70%	532	100%	48	124	258,33%	116	93,55%
2020_1	CATARINA	2.494	1.731	69,41%	711	463	65,12%	463	100%	16	79	493,75%	44	55,70%
2020_1	DEPUTADO IRAPUAN PINHEIRO	2.389	2.323	97,24%	499	462	92,59%	462	100%	21	35	166,67%	6	17,14%
2020_1	IGUATU	18.706	14.085	75,30%	4.681	2.285	48,81%	2.284	99,96%	211	286	135,55%	193	67,48%
2020_1	JUCÁS	6.142	2.756	44,87%	1.775	68	3,83%	68	100%	93	143	153,76%	115	80,42%
2020_1	MOMBAÇA	9.780	6.987	71,44%	2.455	739	30,10%	739	100%	110	248	225,45%	192	77,42%
2020_1	PIQUET CARNEIRO	3.434	2.414	70,30%	797	138	17,31%	138	100%	30	83	276,67%	68	81,93%
2020_1	QUIXELÔ	4.114	3.818	92,81%	915	784	85,68%	784	100%	48	101	210,42%	85	84,16%
2020_1	SABOEIRO	3.376	1.461	43,28%	975	44	4,51%	44	100%	43	59	137,21%	35	59,32%
2020_1	ABAIARA	2.768	1.420	51,30%	799	41	5,13%	41	100%	33	83	251,52%	48	57,83%
2020_1	AURORA	5.669	2.634	46,46%	1.539	98	6,37%	96	97,96%	73	171	234,25%	136	79,53%
2020_1	BARRO	5.033	3.163	62,85%	1.296	291	22,45%	291	100%	60	107	178,33%	42	39,25%
2020_1	BREJO SANTO	12.223	12.192	99,75%	2.916	2.896	99,31%	925	31,94%	150	272	181,33%	155	56,99%
2020_1	JATI	1.717	744	43,33%	540	37	6,85%	37	100%	30	27	90%	23	85,19%
2020_1	MAURITI	12.277	4.484	36,52%	3.682	44	1,20%	44	100%	205	287	140%	198	68,99%
2020_1	MILAGRES	7.706	3.852	49,99%	2.054	145	7,06%	145	100%	102	146	143,14%	80	54,79%
2020_1	PENAFORTE	3.159	1.783	56,44%	1.003	300	29,91%	300	100%	61	60	98,36%	31	51,67%
2020_1	PORTEIRAS	4.162	2.632	63,24%	1.112	68	6,12%	68	100%	75	104	138,67%	67	64,42%
2020_1	ALTANEIRA	2.275	1.262	55,47%	684	120	17,54%	120	100%	34	54	158,82%	46	85,19%
2020_1	ANTONINA DO NORTE	2.587	2.104	81,33%	645	403	62,48%	403	100%	33	44	133,33%	40	90,91%
2020_1	ARARIPE	6.174	5.496	89,02%	1.625	1.247	76,74%	1.247	100%	99	99	100%	69	69,70%
2020_1	ASSARÉ	7.267	6.990	96,19%	1.719	1.600	93,08%	1.598	99,88%	81	146	180,25%	130	89,04%
2020_1	CAMPOS SALES	6.210	3.010	48,47%	1.716	42	2,45%	42	100%	84	113	134,52%	92	81,42%
2020_1	CRATO	24.691	10.722	43,42%	7.290	13	0,18%	13	100%	383	342	89,30%	91	26,61%
2020_1	FARIAS BRITO	4.863	3.062	62,97%	1.275	116	9,10%	116	100%	64	105	164,06%	70	66,67%
2020_1	NOVA OLINDA	4.738	2.131	44,98%	1.480	53	3,58%	53	100%	87	114	131,03%	96	84,21%
2020_1	POTENGI	2.320	1.668	71,90%	611	253	41,41%	253	100%	26	58	223,08%	38	65,52%
2020_1	SALITRE	5.522	4.713	85,35%	1.495	1.013	67,76%	1.013	100%	83	135	162,65%	113	83,70%
2020_1	SANTANA DO CARIRI	4.960	2.600	52,42%	1.442	119	8,25%	119	100%	57	153	268,42%	131	85,62%
2020_1	TARRAFAS	2.254	1.797	79,72%	562	336	59,79%	336	100%	26	27	103,85%	17	62,96%
2020_1	VÁRZEA ALEGRE	9.451	4.510	47,72%	2.577	379	14,71%	379	100%	121	177	146,28%	144	81,36%
2020_1	BARBALHA	12.473	6.425	51,51%	3.710	560	15,09%	559	99,82%	234	338	144,44%	230	68,05%
2020_1	CARIRIAÇU	8.143	4.288	52,66%	2.422	204	8,42%	204	100%	116	188	162,07%	144	76,60%
2020_1	GRANJEIRO	1.521	1.071	70,41%	432	211	48,84%	211	100%	23	33	143,48%	29	87,88%
2020_1	JARDIM	7.228	2.794	38,66%	2.136	116	5,43%	116	100%	127	227	178,74%	168	74,01%
2020_1	JUAZEIRO DO NORTE	36.056	14.851	41,19%	11.975	3.300	27,56%	1.346	40,79%	548	909	165,88%	734	80,75%
2020_1	MISSÃO VELHA	9.884	4.560	46,14%	2.909	192	6,60%	192	100%	167	255	152,69%	188	73,73%
2020_2	AQUIRAZ	19.803	18.699	94,43%	4.930	4.447	90,20%	4.446	99,98%	234	288	123,08%	163	56,60%
2020_2	EUSÉBIO	10.900	10.488	96,22%	2.751	2.543	92,44%	459	18,05%	187	188	100,53%	120	63,83%
2020_2	FORTALEZA	359.132	169.940	47,32%	105.222	16.896	16,06%	16.894	99,99%	4.191	7.988	190,60%	5.722	71,63%
2020_2	ITAITINGA	7.184	5.947	82,78%	1.930	1.248	64,66%	1.248	100%	94	156	165,96%	63	40,38%
2020_2	APUIARÉS	4.179	3.247	77,70%	1.004	621	61,85%	621	100%	40	106	265%	36	33,96%
2020_2	CAUCAIA	56.974	13.147	23,08%	18.344	155	0,84%	154	99,35%	746	1.207	161,80%	793	65,70%
2020_2	GENERAL SAMPAIO	2.342	1.213	51,79%	675	48	7,11%	48	100%	37	67	181,08%	60	89,55%
2020_2	ITAPAGÉ	10.798	5.344	49,49%	3.058	230	7,52%	230	100%	133	186	139,85%	100	53,76%
2020_2	PARACURU	9.109	4.163	45,70%	2.527	16	0,63%	16	100%	166	281	169,28%	186	66,19%
2020_2	PARAIPABA	8.113	3.951	48,70%	2.290	305	13,32%	305	100%	100	194	194%	57	29,38%
2020_2	PENTECOSTE	8.984	8.023	89,30%	2.244	1.726	76,92%	1.712	99,19%	100	231	231%	184	79,65%
2020_2	SÃO GONÇALO DO AMARANTE	13.613	12.996	95,47%	3.582	3.279	91,54%	3.278	99,97%	206	266	129,13%	181	68,05%
2020_2	SÃO LUÍS DO CURU	3.180	964	30,31%	903	4	0,44%	4	100%	42	44	104,76%	37	84,09%
2020_2	TEJUÇUOCA	5.900	2.830	47,97%	1.784	13	0,73%	13	100%	73	136	186,30%	51	37,50%
2020_2	ACARAPE	3.462	1.370	39,57%	1.026	5	0,49%	5	100%	43	73	169,77%	36	49,32%
2020_2	BARREIRA	6.664	3.551	53,29%	1.849	26	1,41%	26	100%	93	164	176,34%	86	52,44%
2020_2	GUAIUBA	6.566	4.154	63,27%	1.812	722	39,85%	722	100%	79	126	159,49%	78	61,90%
2020_2	MARACANAÚ	33.417	9.894	29,61%	10.729	114	1,06%	114	100%	556	813	146,22%	553	68,02%
2020_2	MARANGUAPE	24.192	12.575	51,98%	6.682	544	8,14%	151	27,76%	264	577	218,56%	481	83,36%
2020_2	PACATUBA	12.100	4.293	35,48%	3.870	113	2,92%	113	100%	127	307	241,73%	158	51,47%
2020_2	PALMÁCIA	3.190	2.956	92,66%	777	667	85,84%	667	100%	25	71	284%	50	70,42%
2020_2	REDENÇÃO	6.603	3.011	45,60%	1.929	23	1,19%	23	100%	98	187	190,82%	92	49,20%
2020_2	ARACOIABA	7.892	4.372	55,40%	2.119	28	1,32%	28	100%	109	208	190,83%	134	64,42%
2020_2	ARATUBA	3.816	3.287	86,14%	970	733	75,57%	733	100%	52	55	105,77%	31	56,36%
2020_2	BATURITÉ	9.291	4.637	49,91%	2.620	622	23,74%	569	91,48%	130	186	143,08%	114	61,29%
2020_2	CAPISTRANO	5.628	5.254	93,35%	1.407	1.193	84,79%	1.192	99,92%	69	148	214,49%	67	45,27%
2020_2	GUARAMIRANGA	1.207	493	40,85%	314	1	0,32%	1	100%	25	25	100%	9	36%
2020_2	ITAPIUNA	5.063	1.395	27,55%	1.477	3	0,20%	3	100%	64	70	109,38%	53	75,71%
2020_2	MULUNGU	3.422	2.860	83,58%	925	681	73,62%	681	100%	33	70	212,12%	50	71,43%
2020_2	PACOTI	2.863	1.219	42,58%	874	72	8,24%	72	100%	37	71	191,89%	49	69,01%
2020_2	AMONTADA	11.835	6.441	54,42%	3.617	1.269	35,08%	1.260	99,29%	205	342	166,83%	240	70,18%
2020_2	ITAPIPOCA	35.863	18.829	52,50%	10.130	252	2,49%	252	100%	531	939	176,84%	721	76,78%
2020_2	MIRAÍMA	3.980	3.237	81,33%	1.075	762	70,88%	762	100%	47	133	282,98%	121	90,98%
2020_2	TRAIRI	20.840	16.778	80,51%	5.684	4.095	72,04%	4.095	100%	305	438	143,61%	261	59,59%
2020_2	TURURU	5.358	4.389	81,91%	1.418	1.002	70,66%	1.002	100%	89	128	143,82%	71	55,47%
2020_2	UMIRIM	6.731	6.508	96,69%	1.780	1.669	93,76%	1.669	100%	80	147	183,75%	106	72,11%
2020_2	URUBURETAMA	6.873	3.044	44,29%	2.117	210	9,92%	210	100%	107	174	162,62%	126	72,41%
2020_2	BEBERIBE	14.167	9.882	69,75%	3.497	1.466	41,92%	28	1,91%	164	268	163,41%	155	57,84%
2020_2	CASCAVEL	18.063	9.288	51,42%	4.829	32	0,66%	32	100%	227	412	181,50%	199	48,30%
2020_2	CHOROZINHO	6.375	6.013	94,32%	1.501	1.301	86,68%	1.301	100%	63	154	244,44%	80	51,95%
2020_2	HORIZONTE	10.520	5.625	53,47%	3.279	423	12,90%	423	100%	160	190	118,75%	125	65,79%
2020_2	OCARA	7.284	6.881	94,47%	1.597	1.387	86,85%	1.387	100%	74	132	178,38%	66	50%
2020_2	PACAJUS	12.603	4.861	38,57%	3.578	33	0,92%	33	100%	146	243	166,44%	155	63,79%
2020_2	PINDORETAMA	6.847	5.698	83,22%	1.745	1.145	65,62%	1.145	100%	94	116	123,40%	101	87,07%
2020_2	BOA VIAGEM	12.109	2.173	17,95%	3.626	134	3,70%	134	100%	167	304	182,04%	197	64,80%
2020_2	CANINDÉ	20.214	9.239	45,71%	5.615	472	8,41%	472	100%	277	477	172,20%	282	59,12%
2020_2	CARIDADE	5.349	1.249	23,35%	1.669	7	0,42%	7	100%	59	176	298,31%	165	93,75%
2020_2	ITATIRA	6.836	3.785	55,37%	1.760	45	2,56%	45	100%	105	147	140%	95	64,63%
2020_2	MADALENA	5.356	4.312	80,51%	1.347	783	58,13%	783	100%	57	124	217,54%	96	77,42%
2020_2	PARAMOTI	3.215	1.620	50,39%	846	11	1,30%	11	100%	32	85	265,63%	49	57,65%
2020_2	BANABUIU	4.988	2.970	59,54%	1.425	228	16%	228	100%	66	141	213,64%	87	61,70%
2020_2	CHORÓ	3.395	1.721	50,69%	992	3	0,30%	3	100%	42	66	157,14%	39	59,09%
2020_2	IBARETAMA	3.425	3.097	90,42%	1.132	1.009	89,13%	1.009	100%	55	66	120%	61	92,42%
2020_2	IBICUITINGA	3.861	2.107	54,57%	1.032	15	1,45%	13	86,67%	52	81	155,77%	43	53,09%
2020_2	MILHÃ	3.872	3.196	82,54%	904	637	70,46%	637	100%	46	68	147,83%	62	91,18%
2020_2	PEDRA BRANCA	11.790	10.033	85,10%	2.727	1.889	69,27%	1.889	100%	137	188	137,23%	96	51,06%
2020_2	QUIXADÁ	20.984	9.605	45,77%	6.200	633	10,21%	633	100%	309	568	183,82%	289	50,88%
2020_2	QUIXERAMOBIM	15.709	7.853	49,99%	4.607	57	1,24%	57	100%	194	309	159,28%	183	59,22%
2020_2	SENADOR POMPEU	6.297	4.685	74,40%	1.582	794	50,19%	794	100%	72	139	193,06%	118	84,89%
2020_2	SOLONÓPOLES	3.772	3.295	87,35%	942	672	71,34%	672	100%	39	95	243,59%	59	62,11%
2020_2	AIUABA	4.856	4.376	90,12%	1.146	878	76,61%	878	100%	47	100	212,77%	87	87%
2020_2	ARNEIROZ	1.695	1.540	90,86%	427	340	79,63%	340	100%	16	53	331,25%	27	50,94%
2020_2	PARAMBU	7.079	6.445	91,04%	1.717	1.421	82,76%	1.421	100%	92	171	185,87%	131	76,61%
2020_2	TAUÁ	9.360	5.230	55,88%	2.488	62	2,49%	62	100%	118	188	159,32%	141	75%
2020_2	ALCÂNTARAS	2.021	1.284	63,53%	531	61	11,49%	61	100%	19	45	236,84%	26	57,78%
2020_2	CARIRÉ	4.391	2.248	51,20%	1.203	22	1,83%	22	100%	44	136	309,09%	77	56,62%
2020_2	CATUNDA	3.440	3.440	100%	818	818	100%	818	100%	38	51	134,21%	39	76,47%
2020_2	COREAÚ	5.938	2.894	48,74%	1.585	104	6,56%	104	100%	67	176	262,69%	145	82,39%
2020_2	FORQUILHA	6.119	5.578	91,16%	1.519	1.263	83,15%	1.263	100%	56	103	183,93%	61	59,22%
2020_2	FRECHEIRINHA	3.931	2.445	62,20%	1.152	407	35,33%	407	100%	61	75	122,95%	49	65,33%
2020_2	GRAÇA	4.246	3.838	90,39%	1.087	892	82,06%	892	100%	38	62	163,16%	49	79,03%
2020_2	GROAÍRAS	2.423	2.283	94,22%	555	477	85,95%	477	100%	22	42	190,91%	32	76,19%
2020_2	HIDROLÂNDIA	4.491	2.332	51,93%	1.304	89	6,83%	89	100%	47	131	278,72%	116	88,55%
2020_2	IPU	12.851	12.477	97,09%	3.210	3.049	94,98%	3.049	100%	159	290	182,39%	127	43,79%
2020_2	IRAUÇUBA	8.389	8.386	99,96%	2.070	2.070	100%	2.070	100%	89	245	275,28%	185	75,51%
2020_2	MASSAPÊ	9.672	8.753	90,50%	2.370	1.896	80%	1.896	100%	104	248	238,46%	164	66,13%
2020_2	MERUOCA	3.768	3.371	89,46%	994	779	78,37%	779	100%	46	67	145,65%	45	67,16%
2020_2	MORAÚJO	2.834	2.778	98,02%	691	662	95,80%	662	100%	31	71	229,03%	52	73,24%
2020_2	MUCAMBO	2.758	1.986	72,01%	734	339	46,19%	339	100%	32	58	181,25%	29	50%
2020_2	PACUJÁ	1.478	765	51,76%	426	6	1,41%	6	100%	19	33	173,68%	21	63,64%
2020_2	PIRES FERREIRA	2.371	2.332	98,36%	537	523	97,39%	523	100%	22	60	272,73%	52	86,67%
2020_2	RERIUTABA	3.963	1.641	41,41%	1.132	14	1,24%	14	100%	51	105	205,88%	36	34,29%
2020_2	SANTANA DO ACARAÚ	9.731	7.010	72,04%	2.478	1.021	41,20%	1.021	100%	120	271	225,83%	186	68,63%
2020_2	SANTA QUITÉRIA	10.008	5.194	51,90%	2.630	49	1,86%	49	100%	109	192	176,15%	99	51,56%
2020_2	SENADOR SÁ	1.860	493	26,51%	572	2	0,35%	2	100%	23	21	91,30%	8	38,10%
2020_2	SOBRAL	31.972	14.055	43,96%	9.497	139	1,46%	139	100%	422	893	211,61%	709	79,40%
2020_2	URUOCA	3.828	3.356	87,67%	942	686	72,82%	686	100%	41	92	224,39%	77	83,70%
2020_2	VARJOTA	4.047	2.245	55,47%	1.274	66	5,18%	66	100%	49	94	191,84%	49	52,13%
2020_2	ACARAÚ	18.054	8.297	45,96%	5.259	981	18,65%	940	95,82%	295	458	155,25%	174	37,99%
2020_2	BELA CRUZ	7.894	4.062	51,46%	2.161	31	1,43%	31	100%	95	243	255,79%	224	92,18%
2020_2	CRUZ	7.567	6.988	92,35%	1.928	1.614	83,71%	1.573	97,46%	110	247	224,55%	236	95,55%
2020_2	ITAREMA	13.209	6.099	46,17%	3.875	614	15,85%	614	100%	243	299	123,05%	236	78,93%
2020_2	JIJOCA DE JERICOACOARA	3.911	1.641	41,96%	1.264	8	0,63%	8	100%	61	90	147,54%	34	37,78%
2020_2	MARCO	7.967	4.031	50,60%	2.508	96	3,83%	96	100%	138	188	136,23%	143	76,06%
2020_2	MORRINHOS	5.390	2.119	39,31%	1.628	6	0,37%	6	100%	76	144	189,47%	58	40,28%
2020_2	CARNAUBAL	4.261	3.863	90,66%	1.138	948	83,30%	948	100%	54	128	237,04%	98	76,56%
2020_2	CROATÁ	5.380	3.218	59,81%	1.384	63	4,55%	63	100%	52	135	259,62%	121	89,63%
2020_2	GUARACIABA DO NORTE	12.464	8.745	70,16%	3.729	1.737	46,58%	1.735	99,88%	203	371	182,76%	162	43,67%
2020_2	IBIAPINA	6.087	3.441	56,53%	1.791	340	18,98%	337	99,12%	84	151	179,76%	60	39,74%
2020_2	SÃO BENEDITO	10.768	4.367	40,56%	3.291	80	2,43%	36	45%	177	361	203,95%	284	78,67%
2020_2	TIANGUÁ	22.931	21.058	91,83%	6.157	5.285	85,84%	5.285	100%	388	510	131,44%	397	77,84%
2020_2	UBAJARA	9.194	6.692	72,79%	2.418	1.143	47,27%	1.143	100%	115	289	251,30%	161	55,71%
2020_2	VIÇOSA DO CEARÁ	18.064	6.803	37,66%	5.432	130	2,39%	130	100%	281	670	238,43%	472	70,45%
2020_2	ARARENDÁ	2.867	1.462	50,99%	768	45	5,86%	45	100%	34	77	226,47%	62	80,52%
2020_2	CRATEÚS	12.893	3.648	28,29%	3.763	12	0,32%	8	66,67%	166	253	152,41%	121	47,83%
2020_2	INDEPENDÊNCIA	7.301	4.109	56,28%	1.757	49	2,79%	49	100%	87	222	255,17%	155	69,82%
2020_2	IPAPORANGA	2.904	1.424	49,04%	808	3	0,37%	3	100%	39	56	143,59%	34	60,71%
2020_2	IPUEIRAS	8.415	3.682	43,76%	2.440	21	0,86%	21	100%	109	263	241,28%	243	92,40%
2020_2	MONSENHOR TABOSA	5.449	4.395	80,66%	1.432	925	64,59%	925	100%	67	79	117,91%	56	70,89%
2020_2	NOVA RUSSAS	6.576	4.214	64,08%	1.639	167	10,19%	167	100%	72	148	205,56%	118	79,73%
2020_2	NOVO ORIENTE	9.040	7.388	81,73%	2.111	1.374	65,09%	1.374	100%	111	224	201,80%	176	78,57%
2020_2	PORANGA	3.420	2.700	78,95%	911	611	67,07%	611	100%	46	79	171,74%	62	78,48%
2020_2	QUITERIANOPÓLES	5.669	5.032	88,76%	1.368	1.027	75,07%	1.027	100%	58	151	260,34%	79	52,32%
2020_2	TAMBORIL	7.502	5.212	69,47%	1.814	758	41,79%	758	100%	84	161	191,67%	66	40,99%
2020_2	BARROQUINHA	4.472	2.412	53,94%	1.152	40	3,47%	40	100%	66	114	172,73%	65	57,02%
2020_2	CAMOCIM	15.493	10.791	69,65%	4.111	2.181	53,05%	2.181	100%	194	190	97,94%	120	63,16%
2020_2	CHAVAL	3.718	1.745	46,93%	1.099	6	0,55%	6	100%	52	77	148,08%	62	80,52%
2020_2	GRANJA	13.827	6.466	46,76%	3.790	33	0,87%	32	96,97%	203	283	139,41%	204	72,08%
2020_2	MARTINÓPOLE	3.285	1.582	48,16%	932	41	4,40%	41	100%	45	85	188,89%	46	54,12%
2020_2	ARACATI	13.718	12.226	89,12%	3.197	2.434	76,13%	2.434	100%	147	311	211,56%	190	61,09%
2020_2	FORTIM	4.025	3.677	91,35%	928	744	80,17%	744	100%	43	80	186,05%	70	87,50%
2020_2	ICAPUÍ	5.034	2.258	44,85%	1.337	8	0,60%	8	100%	71	107	150,70%	18	16,82%
2020_2	ITAIÇABA	1.785	1.716	96,13%	411	383	93,19%	383	100%	18	31	172,22%	16	51,61%
2020_2	JAGUARETAMA	5.425	5.206	95,96%	1.283	1.237	96,41%	879	71,06%	53	154	290,57%	81	52,60%
2020_2	JAGUARUANA	9.548	6.286	65,84%	2.267	277	12,22%	277	100%	109	246	225,69%	196	79,67%
2020_2	MORADA NOVA	16.958	10.438	61,55%	3.880	37	0,95%	37	100%	197	423	214,72%	248	58,63%
2020_2	PALHANO	2.208	1.274	57,70%	558	12	2,15%	12	100%	25	35	140%	31	88,57%
